name,red_mean,red_std,green_mean,green_std,blue_mean,blue_std
cachua,33.136675,60.33659996175104,18.538,33.75474123734325,16.6842,30.37926711360891
cachua,66.4708,85.32580821392787,26.814925,34.421206722664074,20.39445,26.17950933836423
cachua,47.2944,75.24230544474298,19.824,31.538690904982094,14.7264,23.428741815129555
cachua,49.953375,77.76044914421068,20.156625,31.377023338892023,15.1905,23.64645237133892
cachua,33.3498,65.75567078176603,20.8692,41.1477203665039,15.345,30.255676740076396
cachua,21.10185,51.543029369425895,11.1969,27.349362522552518,9.7614,23.843033994020136
cachua,44.537625,76.80859056355203,26.420625,45.5644181309207,19.375125,33.413906629341845
cachua,34.11315,66.05015743416136,14.74025,28.54019148389688,13.4768,26.093889356705724
cachua,28.535625,63.759783412895736,16.02,35.794966126537965,12.515625,27.964817286357782
cachua,62.0571,83.34777585268847,25.6788,34.48873483559523,19.61575,26.345561332746353
cachua,33.4025,63.73115795080143,16.1625,30.83765707296843,15.3005,29.192982029076784
cachua,44.098,74.51192116701863,25.94,43.830541862952145,17.6392,29.804768466807456
cachua,52.78,80.31669564916125,20.8104,31.667725713097866,15.6832,23.865532421465065
cachua,46.07,75.56093633617837,17.344,28.44647015009068,14.363,23.557233093043845
cachua,34.1159,66.30985648597047,15.4882,30.103861226759598,13.8138,26.84938974278559
cachua,45.7437,73.54917205727065,16.7355,26.908233679489257,13.667325,21.97505750491623
cachua,31.363,63.021553701888365,18.4605,37.09496515364316,15.086,30.314165071794406
cachua,61.000625,83.39084556837983,25.445975,34.78589557995273,20.21735,27.63810881694875
cachua,40.2868,76.0903735419928,20.1434,38.0451867709964,11.16645,21.0902665795741
cachua,26.76125,59.26308293058589,13.380625,29.631541465292944,11.348125,25.130547824995283
cachua,23.83125,54.83392219636947,11.597875,26.685842135566475,11.12125,25.589163691639083
cachua,28.654125,53.62204066878074,11.10625,20.783736693325864,10.884125,20.36806195945935
cachua,46.02305,73.3732650132015,16.09395,25.65813561811341,13.83515,22.056993776974686
cachua,60.485125,82.49531064693541,23.7745,32.42590245081854,19.229375,26.22683286463264
cachua,17.8182,48.896606720303204,11.95695,32.812196614940305,10.433025,28.63024998754595
cachua,28.2543,60.77934049913671,17.4146,37.46148030764401,14.9268,32.10984026369487
cachua,61.03845,84.13152364956609,25.5189,35.17363135631577,19.65645,27.0932025312162
cachua,23.280425,54.528579541552105,12.796525,29.972662926813413,12.179825,28.52819724359349
cachua,54.0237,84.43842749785195,26.43095,41.31127366830391,14.23205,22.244531975240566
cachua,48.97605,73.0723095734458,21.0783,31.44884209490073,16.1187,24.04911454315938
cachua,32.11915,64.83657650799817,18.32565,36.99264794628117,14.1876,28.639469377766062
cachua,31.08875,61.81550876145484,13.121875,26.09096149022444,11.910625,23.682565044972957
cachua,63.73935,92.16261287299476,30.4137,43.976069086606635,18.1188,26.198509243084807
cachua,53.9821,86.62839130210142,25.4527,40.84551092482503,16.2226,26.03340256747089
cachua,57.919725,76.51497716737799,25.863525,34.16706527599897,21.8565,28.8735762895766
cachua,23.3773,55.8904101318822,13.1032,31.32710886373015,12.2098,29.191169623021274
cachua,28.80165,60.76449627272081,13.2084,27.866520583668144,12.29115,25.93134554313563
cachua,27.479325,57.78672964050115,15.86055,33.3534144233765,14.38515,30.250771221201944
cachua,64.570625,84.44225104833112,36.8975,48.252714884760636,27.30415,35.707009014722864
cachua,49.544725,76.28426639664549,20.1739,31.061856975879593,17.20715,26.493936832367893
cachua,21.5055,54.96730364271108,12.4785,31.894608286511374,11.01825,28.162260508302595
cachua,48.1505,72.72763126728384,18.8945,28.53869075045315,15.54225,23.475374649566298
cachua,43.967475,71.11743574626671,16.5915,26.836768206138387,13.549725,21.916694035013013
cachua,21.5986,54.27779728434086,14.2168,35.72715770614841,12.4397,31.261262992879864
cachua,58.572,84.33433948279905,22.1272,31.859639360168526,17.897,25.768825953077492
