name,sec1_mean,sec1_std,sec2_mean,sec2_std,sec3_mean,sec3_std,sec4_mean,sec4_std,sec5_mean,sec5_std,sec6_mean,sec6_std,sec7_mean,sec7_std,sec8_mean,sec8_std,sec9_mean,sec9_std,sec10_mean,sec10_std,sec11_mean,sec11_std,sec12_mean,sec12_std,sec13_mean,sec13_std,sec14_mean,sec14_std,sec15_mean,sec15_std,sec16_mean,sec16_std,sec17_mean,sec17_std,sec18_mean,sec18_std,sec19_mean,sec19_std,sec20_mean,sec20_std,sec21_mean,sec21_std,sec22_mean,sec22_std,sec23_mean,sec23_std,sec24_mean,sec24_std,sec25_mean,sec25_std
cachua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76354166666667,57.07146583413289,55.61666666666667,65.25378447943757,0.07395833333333333,3.125724742348653,0.0,0.0,0.0,0.0,95.628125,59.1197499485948,117.44583333333334,41.595297001450646,34.834375,58.23131196666768,0.0,0.0,0.0,0.0,93.11354166666666,60.310697502930026,118.33333333333333,40.47495796442811,66.04479166666667,66.08871778682499,0.0,0.0,0.0,0.0,33.946875,57.74618214855745,62.494791666666664,65.99093982919118,12.86875,39.183593804518495,0.07395833333333333,3.1257247423486523
cachua,0.0,0.0,0.06895833333333333,2.8904359097312446,14.0675,38.82548059908596,1.9308333333333334,15.176771153275286,0.0,0.0,0.0,0.0,22.825208333333332,47.391591970938585,95.30041666666666,49.703992124976466,48.89145833333333,59.467824720935695,0.0,0.0,0.0,0.0,23.445833333333333,47.87985379369445,106.05791666666667,40.105324613153165,71.50979166666667,59.62400163348591,0.0,0.0,0.0,0.0,0.620625,8.65154319236603,98.33458333333333,47.44236999412785,36.75479166666667,55.71922616601859,0.0,0.0,0.0,0.0,0.06895833333333333,2.8904359097312446,3.861666666666667,21.288788846610217,0.0,0.0,0.0,0.0
cachua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.496875,35.49075570108891,21.283958333333334,46.082050836867026,2.1814583333333335,16.10344780494529,0.0,0.0,4.775625,23.565101970061047,88.55541666666667,53.64839477865474,94.274375,50.24810039553112,78.82729166666667,57.69590147342874,0.0,0.0,6.485416666666667,27.258786730026255,88.73229166666667,53.55561944292056,94.33333333333333,50.208454356700614,67.743125,60.096731527050416,0.0,0.0,0.41270833333333334,7.056253502976199,13.79625,38.468035249249475,27.828333333333333,50.93511098010444,2.5352083333333333,17.334251076215086,0.0,0.0
cachua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82625,18.270086506021254,40.375,57.03055650263287,25.09979166666667,49.04452738709247,0.0,0.0,0.201875,4.936838207230919,65.609375,60.24678860411877,105.31145833333333,40.55872637760294,100.60104166666666,45.225041447354485,0.0,0.0,0.201875,4.936838207230919,16.621041666666667,41.638382920669045,56.525,60.337379583472135,30.41583333333333,52.47019391335957,0.0,0.0,0.9420833333333334,10.632045694960224,0.0,0.0,0.13458333333333333,4.032034721211557,0.0,0.0,0.0,0.0
cachua,0.0,0.0,0.0,0.0,0.0,0.0,0.059166666666666666,2.7005862275110237,0.0,0.0,0.0,0.0,3.609166666666667,20.78630757587525,9.466666666666667,32.83060902403257,2.0708333333333333,15.84597685972338,0.0,0.0,2.5441666666666665,17.529514615039655,82.24166666666666,58.12637035421664,94.66666666666667,52.085399958998956,71.71,60.83778349019629,0.0,0.0,4.200833333333334,22.369987318702016,86.0875,56.61795072015588,94.66666666666667,52.085399958998956,58.7525,61.59329300946655,0.0,0.0,0.6508333333333334,8.93530913318367,5.916666666666667,26.35639812687277,20.530833333333334,45.939397209500065,0.71,9.330375126435163,0.0,0.0
cachua,0.0,0.0,0.0,0.0,6.26875,27.8395077202196,0.0,0.0,0.0,0.0,0.0,0.0,39.53,59.77024705765682,103.32375,52.4057862829812,45.20875,61.87862587440163,0.0,0.0,0.0,0.0,83.485,62.251798702259734,118.0,37.47888294315436,70.43125,64.72045225509605,0.0,0.0,0.0,0.0,55.165,64.21039200679799,118.0,37.47888294315436,36.7275,58.49904481057789,0.0,0.0,0.0,0.0,2.655,18.38058690575467,29.42625,54.37538101878,0.0,0.0,0.0,0.0
cachua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.875,55.173448097794285,77.42395833333333,54.80380203658255,28.377708333333334,49.92652562931784,0.0,0.0,0.0,0.0,68.71791666666667,57.13134001864816,106.33333333333333,32.41741644377122,48.913333333333334,57.37606198484599,0.0,0.0,0.0,0.0,37.416041666666665,54.29911402897471,104.93770833333333,34.402756596164366,23.193958333333335,46.44950310281331,0.7310416666666667,9.188282560681868,0.0,0.0,0.2658333333333333,5.5518915070051165,5.848333333333334,25.40607533423628,0.9304166666666667,10.356829059114677,0.996875,10.7172461590828
cachua,0.0,0.0,0.0,0.0,3.788125,20.97163522437807,0.0,0.0,0.0,0.0,0.0,0.0,18.3425,43.15831546469347,103.54208333333334,41.1427583218042,27.713125,50.54223063670988,0.0,0.0,0.0,0.0,37.681875,55.657586378537616,106.33333333333333,37.96782263385084,40.53958333333333,56.71723077242978,0.0,0.0,0.06645833333333333,2.8219304781060583,9.835833333333333,32.901021503476485,83.139375,55.27610197553166,9.769375,32.799579831293194,0.9304166666666667,10.520562793551282,0.13291666666666666,3.9897054811588393,0.06645833333333333,2.8219304781060583,0.39875,6.9026986344110375,0.06645833333333333,2.821930478106058,0.8639583333333334,10.140699400514603
cachua,0.0,0.0,0.0,0.0,0.5925,8.88222628342692,0.0,0.0,0.8558333333333333,10.664546371297542,16.524166666666666,44.011440739564776,82.95,64.91222920220811,83.87166666666667,64.67699382744652,67.61083333333333,66.86935184351813,0.13166666666666665,4.1943609631133185,56.2875,66.0302381015698,105.33333333333333,54.70730197047638,98.1575,59.10465458616605,105.2675,54.75352448701362,4.674166666666666,24.562311902022213,9.940833333333334,35.08183052006963,77.68333333333334,65.9939370110787,86.9,63.804310199233406,45.68833333333333,63.42906429407754,0.0,0.0,2.3041666666666667,17.403040423219796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cachua,0.0,0.0,0.12833333333333333,3.893502778846946,22.009166666666665,46.0244717439055,2.4383333333333335,16.80462328910972,0.0,0.0,0.0,0.0,26.3725,49.2252475235016,99.33,43.354885537849135,40.29666666666667,56.04810721355559,0.385,6.736414105442154,0.0,0.0,28.939166666666665,50.839699539882766,102.66666666666667,40.00277768133386,43.825833333333335,57.112550424335126,0.0,0.0,0.1925,4.76725222219257,0.8341666666666666,9.896821845364748,35.869166666666665,54.36035595271204,11.036666666666667,34.39932638229353,0.25666666666666665,5.503252573604894,0.0,0.0,0.0,0.0,0.12833333333333333,3.893502778846946,0.0,0.0,0.8983333333333333,10.267610752047215
