name,red_mean,red_std,green_mean,green_std,blue_mean,blue_std
cachua,42.783125,75.21071127329122,23.714075,41.68822282005284,20.291425,35.671365918189544
cachua,29.810375,61.57572912568211,18.9875,39.220209634192415,14.05075,29.022955129302392
cachua,42.207,71.9911393922891,16.627,28.3601458212048,13.5574,23.12442659267468
cachua,26.609275,59.79999798473555,13.8831,31.19999894855768,12.89145,28.971427595089263
cachua,38.1822,70.40404252001443,14.5456,26.820587626672165,11.8183,21.791727446671135
cachua,40.572675,72.18476375485602,25.207875,44.84852185952593,19.206,34.170302369162606
cachua,31.103,61.3209539309362,17.802375,35.09817757889112,16.37,32.27418627944011
cachua,26.676,59.63682607248646,13.504725,30.19114319919626,13.00455,29.07295271033715
cachua,58.3856,84.95469917926847,24.3808,35.47558866826596,18.6064,27.073475562624022
cachua,25.746075,58.572737234095314,12.792075,29.102177619456157,11.33475,25.786739662809254
cachua,57.648375,80.83648300649511,22.25025,31.20004607268233,17.193375,24.10912651070907
cachua,28.007475,61.48820837464997,15.292425,33.57331622910336,12.543225,27.537663873309494
cachua,45.29655,76.35327273992583,17.7021,29.839210036292855,14.317875,24.134655176413336
cachua,33.267025,58.74425480546481,13.5982,24.01225013946007,13.355375,23.583459958398283
cachua,60.4384,83.57247277327625,22.321,30.864833694675884,17.8568,24.69186695574071
cachua,24.66035,54.021266070664254,11.55415,25.310663124017513,10.86435,23.799578758404532
cachua,30.191525,62.84351472645665,10.5014,21.858613817897968,8.2511,17.174625142634117
cachua,37.891425,63.10874492864974,17.48835,29.127113043992193,16.42845,27.361833465568424
cachua,23.71985,55.58979776881276,13.86225,32.48754415060486,12.476025,29.238789735544376
cachua,23.84,54.624302283873604,15.04,34.460969226067924,12.48,28.59527233652444
cachua,32.263425,66.90378974519588,17.3581,35.99502138338023,14.71665,30.517518129387582
cachua,41.468,70.10909339023006,15.03215,25.414546353958396,12.95875,21.909091684446892
cachua,35.3556,68.48154750471107,22.51815,43.61622370835766,18.9405,36.686543306095224
cachua,45.9494,72.70836292779532,16.5532,26.19307484355359,13.9846,22.128632195415964
cachua,38.6289,71.50769178759722,24.6231,45.58092634414093,22.1382,40.981016346108355
cachua,33.208175,60.38200177345377,18.578,33.78014085228183,16.952425,30.82437852770717
cachua,66.4268,85.31469417257497,26.797175,34.41672321734559,20.38095,26.17609934840369
cachua,47.2944,75.24230544474298,19.824,31.538690904982094,14.7264,23.428741815129555
cachua,49.92345,77.74676256988133,20.14455,31.37150068609247,15.1814,23.642290372127654
cachua,33.26015,65.68992976078981,20.60905,40.70357610944645,15.30375,30.225427804044397
cachua,21.1092,51.55050024354759,11.2008,27.353326659841578,9.7648,23.846489908579837
cachua,44.537625,76.80859056355203,26.420625,45.5644181309207,19.375125,33.413906629341845
